PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate,extraction_date
1,1,2011-04-30T00:00:00.000Z,4,1,50.2600,201.0400,3.00,0.00,3.00,2011-04-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
2,2,2011-04-30T00:00:00.000Z,3,359,45.1200,135.3600,3.00,0.00,3.00,2011-04-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
2,3,2011-04-30T00:00:00.000Z,3,360,45.5805,136.7415,3.00,0.00,3.00,2011-04-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
3,4,2011-04-30T00:00:00.000Z,550,530,16.0860,8847.3000,550.00,0.00,550.00,2011-04-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
4,5,2011-04-30T00:00:00.000Z,3,4,57.0255,171.0765,2.00,1.00,1.00,2011-04-23T00:00:00.000Z,2025-04-24T15:32:19.678Z
5,6,2011-05-14T00:00:00.000Z,550,512,37.0860,20397.3000,550.00,0.00,550.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
6,7,2011-05-14T00:00:00.000Z,550,513,26.5965,14628.0750,468.00,0.00,468.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
7,8,2011-05-14T00:00:00.000Z,550,317,27.0585,14882.1750,550.00,0.00,550.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
7,9,2011-05-14T00:00:00.000Z,550,318,33.5790,18468.4500,550.00,0.00,550.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
7,10,2011-05-14T00:00:00.000Z,550,319,46.0635,25334.9250,550.00,0.00,550.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
8,11,2011-05-14T00:00:00.000Z,3,403,47.4705,142.4115,3.00,0.00,3.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
8,12,2011-05-14T00:00:00.000Z,3,404,45.3705,136.1115,3.00,0.00,3.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
8,13,2011-05-14T00:00:00.000Z,3,405,49.6440,148.9320,3.00,0.00,3.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
8,14,2011-05-14T00:00:00.000Z,3,406,45.3705,136.1115,3.00,0.00,3.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
8,15,2011-05-14T00:00:00.000Z,3,407,43.2705,129.8115,3.00,0.00,3.00,2011-05-07T00:00:00.000Z,2025-04-24T15:32:19.678Z
9,16,2011-12-28T00:00:00.000Z,3,422,47.5230,142.5690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
9,17,2011-12-28T00:00:00.000Z,3,423,45.4230,136.2690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
9,18,2011-12-28T00:00:00.000Z,3,424,49.6965,149.0895,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
9,19,2011-12-28T00:00:00.000Z,3,425,45.4230,136.2690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
9,20,2011-12-28T00:00:00.000Z,3,426,43.3230,129.9690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
10,21,2011-12-28T00:00:00.000Z,3,320,47.4705,142.4115,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
10,22,2011-12-28T00:00:00.000Z,3,321,42.7980,128.3940,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
10,23,2011-12-28T00:00:00.000Z,60,322,25.4205,1525.2300,60.00,0.00,60.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
11,24,2011-12-28T00:00:00.000Z,3,438,41.2230,123.6690,3.00,0.00,3.00,2011-12-21T00:00:00.000Z,2025-04-24T15:32:19.678Z
