PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate,extraction_date
1,4,4,258,1580,3,2011-04-16T00:00:00.000Z,2011-04-25T00:00:00.000Z,201.0400,16.0832,5.0260,222.1492,2011-04-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
2,4,1,254,1496,5,2011-04-16T00:00:00.000Z,2011-04-25T00:00:00.000Z,272.1015,21.7681,6.8025,300.6721,2011-04-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
3,4,4,257,1494,2,2011-04-16T00:00:00.000Z,2011-04-25T00:00:00.000Z,8847.3000,707.7840,221.1825,9776.2665,2011-04-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
4,4,3,261,1650,5,2011-04-16T00:00:00.000Z,2011-04-25T00:00:00.000Z,171.0765,13.6861,4.2769,189.0395,2011-04-25T00:00:00.000Z,2025-04-24T15:33:20.534Z
5,4,4,251,1654,4,2011-04-30T00:00:00.000Z,2011-05-09T00:00:00.000Z,20397.3000,1631.7840,509.9325,22539.0165,2011-05-09T00:00:00.000Z,2025-04-24T15:33:20.534Z
6,4,4,253,1664,3,2011-04-30T00:00:00.000Z,2011-05-09T00:00:00.000Z,14628.0750,1170.2460,365.7019,16164.0229,2011-05-09T00:00:00.000Z,2025-04-24T15:33:20.534Z
7,4,4,255,1678,3,2011-04-30T00:00:00.000Z,2011-05-09T00:00:00.000Z,58685.5500,4694.8440,1467.1388,64847.5328,2011-05-09T00:00:00.000Z,2025-04-24T15:33:20.534Z
8,4,4,256,1616,5,2011-04-30T00:00:00.000Z,2011-05-09T00:00:00.000Z,693.3780,55.4702,17.3345,766.1827,2011-05-09T00:00:00.000Z,2025-04-24T15:33:20.534Z
9,5,4,259,1492,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,694.1655,55.5332,17.3541,767.0528,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
10,4,4,250,1602,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,1796.0355,143.6828,44.9009,1984.6192,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
11,4,4,258,1540,4,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,501.1965,40.0957,12.5299,553.8221,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
12,4,4,254,1628,5,2011-12-14T00:00:00.000Z,2011-12-23T00:00:00.000Z,34644.2250,2771.5380,866.1056,38281.8686,2011-12-23T00:00:00.000Z,2025-04-24T15:33:20.534Z
